city,location,price_text,price_pkr,bedrooms,bathrooms,size_text,size_sqft,property_type,built_year,parking_spaces,servant_quarters,store_rooms,kitchens,drawing_rooms
Islamabad,"E-11, Islamabad",13 Crore,130000000,9.0,7.0,16 Marla,3600,House,,,,,,
Islamabad,"Jinnah Gardens Phase 1, Jinnah Gardens",3.15 Crore,31500000,4.0,5.0,7 Marla,1575,House,2025.0,1.0,,,,
Islamabad,"DHA Defence Phase 2, DHA Defence",10.5 Crore,105000000,5.0,6.0,1 Kanal,4500,House,2026.0,3.0,1.0,2.0,2.0,
Islamabad,"Top City 1 - Block B, Top City 1",8.5 Crore,85000000,8.0,7.0,1 Kanal,4500,House,,,1.0,1.0,2.0,
Islamabad,"DHA Defence Phase 2, DHA Defence",14.9 Crore,149000000,5.0,6.0,1 Kanal,4500,House,2026.0,3.0,2.0,2.0,2.0,
Islamabad,"DHA Phase 1 - Defence Villas, DHA Phase 1 - Sector F",3.85 Crore,38500000,3.0,4.0,11 Marla,2475,House,2007.0,4.0,2.0,2.0,2.0,
Islamabad,"E-11, Islamabad",1.7 Crore,17000000,2.0,2.0,4.9 Marla,1102,Flat,2021.0,1.0,,,,
Islamabad,"F-7, Islamabad",52 Crore,520000000,8.0,7.0,2.1 Kanal,9450,House,2010.0,6.0,2.0,2.0,2.0,
Islamabad,"F-8, Islamabad",70 Crore,700000000,5.0,5.0,2 Kanal,9000,House,2021.0,6.0,,,,
Islamabad,"Top City 1, Islamabad",6.95 Crore,69500000,5.0,6.0,10 Marla,2250,House,2026.0,,,,2.0,
Islamabad,"Bahria Enclave - Sector C, Bahria Enclave",13 Crore,130000000,5.0,5.0,1 Kanal,4500,House,2026.0,3.0,1.0,1.0,2.0,
Islamabad,"J7 Emporium, B-17",6.04 Crore,60400000,4.0,5.0,17.3 Marla,3892,Flat,2028.0,3.0,1.0,1.0,1.0,
Islamabad,"MPCHS - Block E, MPCHS - Multi Gardens",75 Lakh,7500000,2.0,2.0,2.7 Marla,608,Flat,2023.0,3.0,1.0,1.0,1.0,
Islamabad,"MPCHS - Block B Extension 1, MPCHS - Multi Gardens",70 Lakh,7000000,2.0,2.0,3.1 Marla,698,Flat,,,,,,
Islamabad,"MPCHS - Block F, MPCHS - Multi Gardens",65 Lakh,6500000,2.0,2.0,3.3 Marla,742,Flat,,,,,,
Islamabad,"MPCHS - Block D, MPCHS - Multi Gardens",85 Lakh,8500000,,,3.5 Marla,788,Flat,,,,,,
Islamabad,"MPCHS - Block D, MPCHS - Multi Gardens",1.2 Crore,12000000,,,4.8 Marla,1080,Flat,,,,,,
Islamabad,"Goldcrest Highlife, DHA Defence Phase 2",1.25 Crore,12500000,2.0,2.0,6 Marla,1350,Flat,2027.0,2.0,1.0,1.0,1.0,
Islamabad,"Al-Ghurair Giga - Block 5, Al-Ghurair Giga",78 Lakh,7800000,2.0,2.0,3.6 Marla,810,Flat,2020.0,2.0,1.0,1.0,1.0,
Islamabad,"Al-Ghurair Giga - Block 3, Al-Ghurair Giga",1.15 Crore,11500000,3.0,3.0,6 Marla,1350,Flat,2020.0,2.0,1.0,1.0,1.0,
Islamabad,"Al-Ghurair Giga - Block 16, Al-Ghurair Giga",1.45 Crore,14500000,3.0,3.0,5.1 Marla,1148,Flat,2024.0,2.0,,1.0,1.0,
Islamabad,"Al-Ghurair Giga - Block 8, Al-Ghurair Giga",75 Lakh,7500000,2.0,2.0,3.6 Marla,810,Flat,2018.0,1.0,1.0,,1.0,
Islamabad,"Al-Ghurair Giga - Block 12, Al-Ghurair Giga",63 Lakh,6300000,1.0,1.0,2.7 Marla,608,Flat,2018.0,2.0,,1.0,1.0,
Islamabad,"Al-Ghurair Giga - Block 9, Al-Ghurair Giga",1.42 Crore,14200000,4.0,4.0,6.7 Marla,1508,Flat,2018.0,2.0,,1.0,1.0,
Islamabad,"El Cielo, GT Road",1.2 Crore,12000000,2.0,2.0,4.2 Marla,945,Flat,2022.0,2.0,,1.0,1.0,
Islamabad,"DHA Defence Phase 2, DHA Defence",13.8 Crore,138000000,5.0,6.0,1 Kanal,4500,House,2026.0,2.0,2.0,2.0,2.0,
Islamabad,"Bahria Enclave - Sector J, Bahria Enclave",4.25 Crore,42500000,5.0,7.0,8 Marla,1800,House,2026.0,,1.0,2.0,2.0,
Islamabad,"DHA Defence Phase 2, DHA Defence",7.7 Crore,77000000,8.0,6.0,1 Kanal,4500,House,2016.0,8.0,3.0,4.0,5.0,
Islamabad,"Bahria Enclave - Sector N, Bahria Enclave",3.2 Crore,32000000,4.0,6.0,7 Marla,1575,House,2024.0,1.0,1.0,1.0,2.0,
Islamabad,"Top City 1, Islamabad",6.35 Crore,63500000,6.0,6.0,10 Marla,2250,House,2026.0,2.0,1.0,1.0,2.0,
Islamabad,"National Police Foundation O-9 - Block C, National Police Foundation O-9",1.8 Crore,18000000,4.0,,5 Marla,1125,House,,,,,,
Islamabad,"E-17, Islamabad",1.3 Crore,13000000,4.0,5.0,5 Marla,1125,House,2026.0,,,,2.0,
Islamabad,"I-16/3, I-16",1.35 Crore,13500000,4.0,4.0,6.7 Marla,1508,Flat,2025.0,,1.0,1.0,1.0,
Islamabad,"Gulshan-e-Sehat 2 - Block F, Gulshan-e-Sehat 2",1.65 Crore,16500000,2.0,3.0,8 Marla,1800,House,,,,,2.0,
Islamabad,"Bani Gala, Islamabad",1.48 Crore,14800000,3.0,4.0,5 Marla,1125,House,,1.0,,1.0,1.0,
Islamabad,"J7 Emporium, B-17",3.34 Crore,33400000,2.0,2.0,9 Marla,2025,Flat,2028.0,2.0,,,2025.0,
Islamabad,"F-17/2, F-17",2.75 Crore,27500000,4.0,4.0,8 Marla,1800,House,2024.0,2.0,2.0,1.0,3.0,
Islamabad,"Goldcrest Highlife, DHA Defence Phase 2",48 Lakh,4800000,1.0,1.0,2.8 Marla,630,Flat,2025.0,2.0,,1.0,1.0,
Islamabad,"Bahria Enclave, Bahria Town",5.5 Crore,55000000,5.0,6.0,10 Marla,2250,House,2026.0,2.0,1.0,1.0,2.0,
Islamabad,"Bahria Enclave, Bahria Town",4.95 Crore,49500000,5.0,6.0,10 Marla,2250,House,2026.0,2.0,1.0,1.0,2.0,
Islamabad,"Bahria Enclave - Sector A, Bahria Enclave",5.6 Crore,56000000,5.0,6.0,10 Marla,2250,House,,3.0,1.0,1.0,2.0,
Islamabad,"F-11/2, F-11",22 Crore,220000000,9.0,6.0,1.3 Kanal,5850,House,2000.0,6.0,2.0,2.0,3.0,
Islamabad,"Lignum Tower, DHA Defence Phase 2",1.58 Crore,15800000,2.0,2.0,6.3 Marla,1418,Flat,2014.0,2.0,,,1.0,
Islamabad,"G-16, Islamabad",7 Crore,70000000,7.0,6.0,1 Kanal,4500,House,2025.0,3.0,1.0,1.0,2.0,
Islamabad,"G-16, Islamabad",4.6 Crore,46000000,9.0,6.0,10 Marla,2250,House,,2.0,1.0,2.0,3.0,
Islamabad,"G-13, Islamabad",5.6 Crore,56000000,4.0,5.0,8 Marla,1800,House,,2.0,1.0,1.0,1.0,
Islamabad,"The Centaurus, F-8",15 Crore,150000000,4.0,5.0,1 Kanal,4500,Flat,2013.0,2.0,1.0,1.0,2.0,
Islamabad,"G-15 Markaz, G-15",85 Lakh,8500000,2.0,2.0,3.9 Marla,878,Flat,2020.0,,1.0,3.0,1.0,
Islamabad,"F-6/1, F-6",36 Crore,360000000,6.0,6.0,1.3 Kanal,5850,House,2006.0,4.0,4.0,1.0,2.0,
Islamabad,"G-8/1, G-8",15 Crore,150000000,4.0,6.0,12 Marla,2700,House,2026.0,3.0,1.0,1.0,4.0,
Islamabad,"F-7, Islamabad",29.5 Crore,295000000,4.0,5.0,1 Kanal,4500,House,,,,,,
Islamabad,"F-7, Islamabad",58 Crore,580000000,6.0,7.0,1.3 Kanal,5850,House,,,2.0,,3.0,
Islamabad,"F-6, Islamabad",38.5 Crore,385000000,7.0,7.0,17.8 Marla,4005,House,2025.0,,,2.0,,
Islamabad,"G-13/1, G-13",12.99 Crore,129900000,7.0,7.0,14.2 Marla,3195,House,,,,,,
Islamabad,"DHA Defence Phase 2, DHA Defence",14 Crore,140000000,5.0,6.0,1 Kanal,4500,House,2019.0,,2.0,1.0,3.0,
Islamabad,"G-14/4, G-14",5.3 Crore,53000000,5.0,6.0,5 Marla,1125,House,2026.0,1.0,,,2.0,
Islamabad,"DHA Phase 3 - Block B, DHA Defence Phase 3",10.5 Crore,105000000,6.0,7.0,1 Kanal,4500,House,2020.0,3.0,1.0,1.0,1.0,
Islamabad,"E-11, Islamabad",1.55 Crore,15500000,2.0,2.0,5.6 Marla,1260,Flat,,1.0,1.0,1.0,1.0,
Islamabad,"DHA Defence Phase 2, DHA Defence",12.75 Crore,127500000,5.0,6.0,1 Kanal,4500,House,2026.0,3.0,1.0,1.0,1.0,
Islamabad,"MPCHS - Multi Gardens, B-17",2.6 Crore,26000000,5.0,6.0,5 Marla,1125,House,2026.0,1.0,1.0,2.0,2.0,
Islamabad,"River Garden, Islamabad",4.55 Crore,45500000,4.0,6.0,10 Marla,2250,House,,,,,,
Islamabad,"DHA Defence Phase 5, DHA Defence",6.5 Crore,65000000,4.0,6.0,10 Marla,2250,House,2026.0,2.0,1.0,1.0,1.0,
Islamabad,"Soan Garden - Block B, Soan Garden",4.25 Crore,42500000,6.0,6.0,10 Marla,2250,House,2022.0,2.0,1.0,2.0,2.0,
Islamabad,"Jinnah Gardens Phase 1, Jinnah Gardens",2.55 Crore,25500000,5.0,5.0,5 Marla,1125,House,2026.0,1.0,1.0,1.0,2.0,
Islamabad,"Jinnah Gardens, FECHS",3.7 Crore,37000000,5.0,6.0,7 Marla,1575,House,2026.0,2.0,1.0,2.0,2.0,
Islamabad,"F-6, Islamabad",23 Crore,230000000,4.0,4.0,17.8 Marla,4005,House,2010.0,4.0,,,,
Islamabad,"F-8/3, F-8",25 Crore,250000000,6.0,6.0,1 Kanal,4500,House,2010.0,4.0,,,,
Islamabad,"G-15 Markaz, G-15",80 Lakh,8000000,2.0,2.0,3.3 Marla,742,Flat,2020.0,1.0,,,1.0,
Islamabad,"G-16/4, G-16",5.5 Crore,55000000,6.0,6.0,12.4 Marla,2790,House,2025.0,2.0,1.0,1.0,2.0,
Islamabad,"G-16/4, G-16",3.6 Crore,36000000,5.0,6.0,8 Marla,1800,House,2025.0,2.0,1.0,,2.0,
Islamabad,"Zarkon Heights, G-15",1.2 Crore,12000000,1.0,1.0,2.8 Marla,630,Flat,2025.0,1.0,,1.0,1.0,
Islamabad,"Zarkon Heights, G-15",1.6 Crore,16000000,2.0,2.0,4.8 Marla,1080,Flat,2026.0,1.0,1.0,1.0,1.0,
Islamabad,"G-15 Markaz, G-15",52 Lakh,5200000,2.0,2.0,2.9 Marla,652,Flat,2018.0,1.0,,1.0,1.0,
Islamabad,"G-15/1, G-15",7.8 Crore,78000000,7.0,6.0,1.2 Kanal,5400,House,2025.0,45.0,1.0,1.0,2.0,
Islamabad,"G-15/2, G-15",7.9 Crore,79000000,8.0,6.0,1 Kanal,4500,House,2025.0,,1.0,,2.0,
Islamabad,"F-7, Islamabad",45 Crore,450000000,7.0,6.0,2.5 Kanal,11250,House,2023.0,4.0,2.0,1.0,2.0,
Islamabad,"F-7, Islamabad",46 Crore,460000000,6.0,6.0,2 Kanal,9000,House,,4.0,1.0,1.0,2.0,
Islamabad,"F-7, Islamabad",48 Crore,480000000,6.0,6.0,1.3 Kanal,5850,House,2025.0,5.0,2.0,2.0,3.0,
Islamabad,"F-7/3, F-7",80 Crore,800000000,10.0,,4 Kanal,18000,House,2025.0,1.0,1.0,,1.0,
Islamabad,"F-8, Islamabad",40 Crore,400000000,9.0,,1 Kanal,4500,House,2025.0,5.0,2.0,2.0,2.0,
Islamabad,"F-11, Islamabad",1.75 Crore,17500000,,1.0,4.4 Marla,990,Flat,,1.0,,,1.0,
Islamabad,"DHA Defence Phase 2, DHA Defence",12.8 Crore,128000000,5.0,6.0,1 Kanal,4500,House,2025.0,3.0,1.0,1.0,2.0,
Islamabad,"Jinnah Gardens, FECHS",6.7 Crore,67000000,6.0,6.0,14.2 Marla,3195,House,2026.0,3.0,1.0,1.0,2.0,
Islamabad,"Jinnah Gardens, FECHS",3.6 Crore,36000000,5.0,6.0,7 Marla,1575,House,2026.0,2.0,1.0,1.0,2.0,
Islamabad,"DHA Defence Phase 5, DHA Defence",19.5 Crore,195000000,6.0,6.0,2 Kanal,9000,House,2025.0,6.0,2.0,1.0,2.0,
Islamabad,"DHA Defence Phase 3, DHA Defence",5.8 Crore,58000000,5.0,6.0,13 Marla,2925,House,2026.0,2.0,1.0,2.0,2.0,
Islamabad,"DHA Defence Phase 5, DHA Defence",16.5 Crore,165000000,6.0,7.0,2 Kanal,9000,House,2024.0,,1.0,,2.0,1.0
Islamabad,"F-11 Markaz, F-11",5.5 Crore,55000000,3.0,3.0,12.2 Marla,2745,Flat,2010.0,1.0,1.0,1.0,1.0,
Islamabad,"Soan Garden, Islamabad",2.15 Crore,21500000,3.0,3.0,6 Marla,1350,House,2024.0,,,,,
Islamabad,"Warda Hamna Residencia, G-11 Markaz",3.4 Crore,34000000,2.0,2.0,7.3 Marla,1642,Flat,2010.0,1.0,,,1.0,
Islamabad,"Top City 1 - Block B, Top City 1",8.5 Crore,85000000,6.0,6.0,1 Kanal,4500,House,2025.0,3.0,1.0,1.0,2.0,
Islamabad,"Top City 1 - Block B, Top City 1",59 Lakh,5900000,1.0,1.0,2.4 Marla,540,Flat,2025.0,2.0,1.0,1.0,1.0,
Islamabad,"Zarkon Heights, G-15",1.87 Crore,18700000,2.0,2.0,5.5 Marla,1238,Flat,2024.0,1.0,,,1.0,
Islamabad,"G-15/4, G-15",3 Crore,30000000,5.0,6.0,8 Marla,1800,House,2022.0,1.0,1.0,,2.0,2.0
Islamabad,"I-12/1, I-12",67 Lakh,6700000,2.0,2.0,3.9 Marla,878,Flat,2026.0,,1.0,1.0,1.0,
Islamabad,"I-12/1, I-12",90 Lakh,9000000,2.0,2.0,3.9 Marla,878,Flat,2026.0,,2.0,1.0,1.0,
Islamabad,"I-12/1, I-12",85 Lakh,8500000,2.0,2.0,3.9 Marla,878,Flat,2026.0,,2.0,1.0,1.0,
Islamabad,"I-12/1, I-12",56 Lakh,5600000,2.0,2.0,3.2 Marla,720,Flat,2026.0,,,1.0,1.0,
Islamabad,"I-12/1, I-12",65 Lakh,6500000,2.0,2.0,3.9 Marla,878,Flat,2025.0,,,1.0,1.0,
Islamabad,"I-12/1, I-12",70 Lakh,7000000,2.0,2.0,3.2 Marla,720,Flat,2026.0,,,1.0,1.0,
Islamabad,"F-8, Islamabad",22 Crore,220000000,5.0,5.0,1 Kanal,4500,House,2024.0,1.0,1.0,1.0,1.0,
Islamabad,"F-8, Islamabad",30 Crore,300000000,10.0,,2 Kanal,9000,House,2024.0,5.0,2.0,1.0,3.0,
Islamabad,"F-8, Islamabad",26 Crore,260000000,6.0,6.0,1.3 Kanal,5850,House,2023.0,,1.0,1.0,2.0,
Islamabad,"F-8, Islamabad",65 Crore,650000000,8.0,6.0,4 Kanal,18000,House,2016.0,,1.0,2.0,2.0,
Islamabad,"I-10/2, I-10",5.25 Crore,52500000,4.0,4.0,6 Marla,1350,House,2020.0,2.0,,,1.0,2.0
Islamabad,"G-11/2, G-11",12.85 Crore,128500000,8.0,7.0,14 Marla,3150,House,2026.0,3.0,1.0,1.0,2.0,
Islamabad,"Faisal Town - F-18, Islamabad",3.57 Crore,35700000,5.0,6.0,8 Marla,1800,House,,,,,2.0,2.0
Islamabad,"National Police Foundation O-9 - Block C, National Police Foundation O-9",1.8 Crore,18000000,4.0,5.0,5 Marla,1125,House,2019.0,1.0,1.0,2.0,2.0,
Islamabad,"Islamabad Expressway, Islamabad",72 Lakh,7200000,,,2.2 Marla,495,Flat,,,,,,
Islamabad,"Islamabad Expressway, Islamabad",1.72 Crore,17200000,2.0,,4.9 Marla,1102,Flat,,,,,,
Islamabad,"DHA Defence Phase 2, DHA Defence",12 Crore,120000000,6.0,7.0,1 Kanal,4500,House,2026.0,2.0,2.0,1.0,2.0,
Islamabad,"Arsalan Town, Islamabad",2.9 Crore,29000000,8.0,7.0,8 Marla,1800,House,,,1.0,1.0,3.0,
Islamabad,"Top City 1, Islamabad",13.5 Crore,135000000,10.0,,1.4 Kanal,6300,House,2026.0,,1.0,,3.0,1.0
Islamabad,"Top City 1, Islamabad",10.5 Crore,105000000,6.0,6.0,1 Kanal,4500,House,2026.0,4.0,1.0,1.0,2.0,
Islamabad,"F-11/4, F-11",18 Crore,180000000,5.0,5.0,1 Kanal,4500,House,,,,,,
Islamabad,"F-11, Islamabad",9.85 Crore,98500000,7.0,5.0,10 Marla,2250,House,,,,1.0,3.0,
Islamabad,"Zaraj Housing Scheme, Islamabad",5.9 Crore,59000000,5.0,6.0,12 Marla,2700,House,2025.0,3.0,2.0,1.0,2.0,
Islamabad,"Soan Garden, Islamabad",4 Crore,40000000,4.0,4.0,15 Marla,3375,House,2024.0,2.0,,2.0,1.0,
Islamabad,"I-12/1, I-12",58.5 Lakh,5850000,2.0,2.0,3.2 Marla,720,Flat,2026.0,,,,1.0,
Islamabad,"I-12/1, I-12",58 Lakh,5800000,2.0,2.0,3.2 Marla,720,Flat,2026.0,,,1.0,1.0,
Islamabad,"I-12/1, I-12",77 Lakh,7700000,2.0,2.0,3.9 Marla,878,Flat,2026.0,,,1.0,1.0,
Islamabad,"I-12/1, I-12",82 Lakh,8200000,2.0,2.0,3.9 Marla,878,Flat,2026.0,,1.0,1.0,1.0,
Islamabad,"I-12/1, I-12",68 Lakh,6800000,2.0,2.0,3.2 Marla,720,Flat,2026.0,,,1.0,1.0,
Islamabad,"Soan Garden - Block H, Soan Garden",2.65 Crore,26500000,4.0,5.0,6 Marla,1350,House,2022.0,2.0,,,2.0,
Islamabad,"G-13/4, G-13",9.4 Crore,94000000,7.0,7.0,10 Marla,2250,House,,,,,1.0,
Islamabad,"Bahria Enclave, Bahria Town",2.75 Crore,27500000,3.0,4.0,5 Marla,1125,House,2024.0,1.0,1.0,1.0,1.0,
Islamabad,"DHA Defence Phase 2, DHA Defence",13.85 Crore,138500000,5.0,5.0,1 Kanal,4500,House,2026.0,3.0,,,2.0,
Islamabad,"Top City 1, Islamabad",3.8 Crore,38000000,5.0,6.0,10 Marla,2250,House,2024.0,,,,1.0,
Islamabad,"J7 Emporium, B-17",1.21 Crore,12100000,,1.0,3.3 Marla,742,Flat,2026.0,1.0,1.0,1.0,1.0,
Islamabad,"DHA Defence Phase 2, DHA Defence",15.8 Crore,158000000,5.0,6.0,1 Kanal,4500,House,2026.0,4.0,,2.0,2.0,
Islamabad,"Bahria Enclave - Sector C1, Bahria Enclave",6.25 Crore,62500000,5.0,6.0,10 Marla,2250,House,,,1.0,,2.0,
Islamabad,"DHA Defence Phase 5, DHA Defence",6.4 Crore,64000000,5.0,5.0,10 Marla,2250,House,2025.0,4.0,1.0,2.0,2.0,
Islamabad,"Regent One, DHA Defence Phase 3",2 Crore,20000000,2.0,2.0,5.1 Marla,1148,,,,,,,
Islamabad,"DHA Defence Phase 2, DHA Defence",9.5 Crore,95000000,5.0,7.0,1 Kanal,4500,House,2025.0,3.0,2.0,2.0,2.0,
Islamabad,"DHA Phase 5 - Sector C, DHA Defence Phase 5",16 Crore,160000000,4.0,5.0,2.5 Kanal,11250,House,2025.0,4.0,2.0,1.0,1.0,
Islamabad,"F-17, Islamabad",1.85 Crore,18500000,3.0,3.0,7 Marla,1575,House,2026.0,1.0,1.0,1.0,1.0,
Islamabad,"F-17, Islamabad",75 Lakh,7500000,3.0,3.0,4.4 Marla,990,Flat,2022.0,1.0,1.0,1.0,1.0,
Islamabad,"Askari Tower 1, DHA Defence Phase 2",3.5 Crore,35000000,3.0,4.0,12.9 Marla,2902,Flat,2019.0,1.0,1.0,1.0,1.0,
Islamabad,"CBR Town Phase 1 - Block D, CBR Town Phase 1",3.25 Crore,32500000,5.0,6.0,7 Marla,1575,House,,,,,,
Islamabad,"Pakistan Town - Phase 1, Pakistan Town",4 Crore,40000000,6.0,6.0,10.9 Marla,2452,House,2021.0,3.0,1.0,1.0,1.0,2.0
Islamabad,"D-12/3, D-12",15 Crore,150000000,6.0,6.0,14 Marla,3150,House,,1.0,1.0,1.0,1.0,
Islamabad,"G-10/4, G-10",10.75 Crore,107500000,5.0,6.0,14 Marla,3150,House,2005.0,3.0,1.0,1.0,2.0,
Islamabad,"F-7, Islamabad",60 Crore,600000000,4.0,5.0,2.1 Kanal,9450,House,,,,,,
Islamabad,"F-6, Islamabad",40 Crore,400000000,5.0,6.0,1.6 Kanal,7200,House,,,,,,
Islamabad,"F-6, Islamabad",1.2 Arab,1200000000,5.0,6.0,4.8 Kanal,21600,House,2020.0,5.0,3.0,1.0,2.0,
Islamabad,"F-6, Islamabad",46 Crore,460000000,5.0,6.0,2.1 Kanal,9450,House,2020.0,2.0,2.0,1.0,2.0,
Islamabad,"Eighteen, Kashmir Highway",2.5 Crore,25000000,1.0,1.0,3.4 Marla,765,Flat,,,,,,
Islamabad,"F-8, Islamabad",26 Crore,260000000,5.0,6.0,1.2 Kanal,5400,House,2020.0,4.0,2.0,2.0,2.0,
Islamabad,"F-8, Islamabad",65 Crore,650000000,6.0,6.0,4 Kanal,18000,House,2020.0,2.0,2.0,,2.0,
Islamabad,"F-7, Islamabad",30 Crore,300000000,6.0,6.0,1 Kanal,4500,House,2020.0,5.0,2.0,2.0,2.0,
